created,text,retwc,hashtag,followers,friends
2021-09-26 02:20:35,b'RT @kittyarsonist: this is what happens when you vaccine your child and the microchip in their body activates. dont vaccinate  https://t.co\xe2\x80\xa6',39,None,730,1831
2021-09-26 02:20:35,"b'RT @TheMarieOakes: Massive protest is underway in Montreal, Quebec, Canada against the government mandated domestic vaccine pass and restri\xe2\x80\xa6'",1839,None,1725,5000
2021-09-26 02:20:34,b'So if I got my 2nd  #Pfizer #vaccine feb 27 and I have #asthma and work in a school and healthcare when should I ge\xe2\x80\xa6 https://t.co/5d3bMzj3YY',0,Pfizer,1737,2487
2021-09-26 02:20:34,b'Pincode: 560078\nCOVISHIELD - Dose 2: 100 slots\n\nAge: 18 and above  (All Ages)\nDate: 02 Oct 2021\nFees: \xe2\x82\xb9780\nRajsheka\xe2\x80\xa6 https://t.co/eKx2kV4nKz',0,None,22,0
2021-09-26 02:20:34,b'RT @jacobcabe: BREAKING: Dozens of Massachusetts troopers line up to quit over vaccine mandate as the state police are already critically s\xe2\x80\xa6',5423,None,1767,3645
2021-09-26 02:20:34,b'@MartinKulldorff My new slogan:\nBill Gates is a racist.\nhttps://t.co/2KtUScUG4W',0,None,148,552
2021-09-26 02:20:34,b'RT @Bluedog35193487: @lynlinking @WgarNews We are doing our best @ScottMorrisonMP Victorians are  getting vaccinated and the majority are f\xe2\x80\xa6',2,None,3125,2571
2021-09-26 02:20:34,b'@kateshellnutt @kelsey_dallas There is not one single religion that is anti vaccine. Vaccines save lives. Not getti\xe2\x80\xa6 https://t.co/ILyReh8UsT',0,None,3269,4979
2021-09-26 02:20:34,b'@RaincoatedL I\xe2\x80\x99m so sorry that happened. My wife had a miscarriage about five years ago and it broke her heart. I g\xe2\x80\xa6 https://t.co/Se09dlVreE',0,None,165,587
2021-09-26 02:20:33,b'RT @ErrolWebber: If YOUR vaccine doesn\xe2\x80\x99t protect you\xe2\x80\xa6\n\nHow is MY vaccine going to protect you?\n\nI\xe2\x80\x99ll wait\xe2\x80\xa6',2471,None,1003,737
2021-09-26 02:20:33,b'RT @jacobcabe: BREAKING: Dozens of Massachusetts troopers line up to quit over vaccine mandate as the state police are already critically s\xe2\x80\xa6',5423,None,12,145
2021-09-26 02:20:33,b'Idk how people who have family members that died of COVID don\xe2\x80\x99t go insane seeing all this anti-vaccine propaganda. https://t.co/idOfExOTdp',0,None,1038,437
2021-09-26 02:20:32,b'RT @FlickReynolds: Churches don\xe2\x80\x99t want to deny unvaccinated folk church services because it may cause \xe2\x80\x98social division\xe2\x80\x99. What exactly do th\xe2\x80\xa6',77,None,84,857
2021-09-26 02:20:32,"b'RT @celliottability: In Ontario, 21,614,205 vaccine doses have been administered. 85.7% of Ontarians 12+ have one dose and nearly 80.1% hav\xe2\x80\xa6'",31,None,251,2261
2021-09-26 02:20:31,b'RT @realmonsanto: Younge &amp; Dundas is packed with Freedom lovers who are standing against the vaccine passport and other draconian COVID mea\xe2\x80\xa6',182,None,100,177
2021-09-26 02:20:31,b'@sunjeetbaadkar @RWMaloneMD you brought up people believing in ivermectin are the same ones pushing misinfo about t\xe2\x80\xa6 https://t.co/TBCFkQuLWd',0,None,16,76
2021-09-26 02:20:31,b'Pincode: 560078\nCOVISHIELD - Dose 1: 99 slots\n\nAge: 18 and above  (All Ages)\nDate: 02 Oct 2021\nFees: \xe2\x82\xb9780\nRajshekar\xe2\x80\xa6 https://t.co/HLKzWbibJX',0,None,22,0
2021-09-26 02:20:31,b'RT @DrSJaishankar: 5. Resumption of vaccine supplies to the world is one clear indicator in that regard.\n\n6. Highlights the transformationa\xe2\x80\xa6',436,None,591,1262
2021-09-26 02:20:30,b'RT @SopanDeb: I didn\xe2\x80\x99t even notice this. Kyrie Irving\xe2\x80\x99s aunt says Irving is going to present alternate \xe2\x80\x9cresearch\xe2\x80\x9d about why you \xe2\x80\x9cnecessaril\xe2\x80\xa6',39,None,294,195
2021-09-26 02:20:30,b'RT @sarahcox_bc: No wonder #Covid_19 so bad in #BC. To go to New Brunswick &amp; Nova Scotia I need to provide proof of double vax (including i\xe2\x80\xa6',24,Covid_19,1385,2397
2021-09-26 02:20:30,"b'RT @NathanMackBrown: JUST IN: Federal judge rules Kentucky hospital system\xe2\x80\x99s COVID vaccine mandate is legal, enabling the hospital system t\xe2\x80\xa6'",2341,None,240,909
2021-09-26 02:20:30,"b'RT @realmonsanto: Chris Sky says he\'s ""sick"" of ""useless"" Canadians that are passive against the vaccine passport. Goes on to predict Canad\xe2\x80\xa6'",165,None,490,680
2021-09-26 02:20:30,"b'RT @MSNBC: ""The refusal to get vaccinated has cost all of us,"" President Biden says. https://t.co/PAPJeOUOCH'",1527,None,3508,3847
2021-09-26 02:20:29,b'@ginacarano @RobSchneider Crazy thing is if Trump was still President and all thos shit was being pushed\xe2\x80\xa6 https://t.co/Ja0BOcY4nI',0,None,1076,1192
2021-09-26 02:20:29,b'RT @jacobcabe: BREAKING: Dozens of Massachusetts troopers line up to quit over vaccine mandate as the state police are already critically s\xe2\x80\xa6',5423,None,505,727
2021-09-26 02:20:29,"b'RT @NYHammond: ""Upstate University Hospital in Syracuse will temporarily close 22 of its 35 operating rooms starting Monday in anticipation\xe2\x80\xa6'",1265,None,67,172
2021-09-26 02:20:29,"b'RT @KristenMeghan: No, OSHA does not have the authority. OSHA cannot implement this as it does not fall under imminent danger. Also, jabs a\xe2\x80\xa6'",7,None,68,556
2021-09-26 02:20:28,"b'RT @OccupyDemocrats: BREAKING: Federal judge rules in favor of a Kentucky hospital system\xe2\x80\x99s COVID vaccine mandate, turning down a legal req\xe2\x80\xa6'",7523,None,632,1570
2021-09-26 02:20:28,b'@Bherbach @ScooterCasterNY Except the vaccine doesnt prevent transmission or infection!',0,None,30,112
2021-09-26 02:20:28,b'@reaccionapr @G0AwayHeat @JoeBiden The goalposts keep moving. Remember \xe2\x80\x9cflatten the curve\xe2\x80\x9d? \xe2\x80\x9cThings will return to\xe2\x80\xa6 https://t.co/j0zdeH757s',0,None,157,380
2021-09-26 02:20:27,b'Pincode: 560096\nCOVISHIELD - Dose 2: 200 slots\n\nAge: 18 and above  (All Ages)\nDate: 02 Oct 2021\nFees: \xe2\x82\xb9780\nSPANDANA\xe2\x80\xa6 https://t.co/ynhRF93GEl',0,None,22,0
2021-09-26 02:20:27,b'@LisannaBoo @LtGenScott Here\xe2\x80\x99s the difference: A breakthrough infection means a vaxxed person caught COVID and was\xe2\x80\xa6 https://t.co/oP6dyocTuM',0,None,2543,2469
2021-09-26 02:20:27,"b""RT @IndiaToday: Here are the highlights from PM \n@narendramodi's address.\n#India #PMSpeech #UNSpeech #UNGA #RE \n\nhttps://t.co/4hOguRqn8Q""",3,India,56,122
2021-09-26 02:20:27,b'@lkumar31 Clearly the data tables from John Hopkins showing that what they have done clearly works is not enough ev\xe2\x80\xa6 https://t.co/XvPkA4nuNT',0,None,65,237
