created,text,retwc,hashtag,followers,friends
2021-10-11 00:00:01,"b'The ""redacted"" ingredient of the Pfizer COVID-19 vaccine is just water. https://t.co/TxBCx54qzm'",1,None,690419,7934
2021-10-11 00:00:01,b'@zerohedge Work on your vaccinated at Pfizer and mrna',0,None,43,521
2021-10-11 00:00:00,"b'Pfizer Applies for Emergency Use of Lower Dose COVID Vaccine for Children, Biden Pushes Vaccine Mandates | CBN News\xe2\x80\xa6 https://t.co/VMqWCbBDbu'",0,None,151339,285
2021-10-11 00:00:00,b'@CapeBHighlander @BoscoEd88 @LockTrumpUp6 @pavancharvaka @mmpadellan COVID-19 vaccine trials are ongoing. \n\nThe pos\xe2\x80\xa6 https://t.co/kw1umbdmsq',0,None,353,1926
2021-10-10 23:59:56,"b'RT @AnnastaciaMP: Thank you Queensland for another successful Super Pfizer Weekend \xf0\x9f\x92\xaa \n\nQueensland Health administered 47,221 vaccines over\xe2\x80\xa6'",7,None,156,3229
2021-10-10 23:59:54,b'@MaddyLoveSpare @RACGPPresident The numbers are the ages of the #Pfizer #Blindness victims.',1,Pfizer,2023,5000
2021-10-10 23:59:51,"b'RT @EricTopol: From England, where boosters are being given for age 50+ who are 6 months or more out from vaccination (Pfizer, Moderna, AZ)'",42,None,1176,1067
2021-10-10 23:59:50,"b'RT @carrie_renaud: @JackPosobiec @pfizer I find it sad,and crazy, that I had Covid, and tested positive for antibodies-yet I was FORCED to\xe2\x80\xa6'",6,None,19,76
2021-10-10 23:59:50,"b'RT @stillmind2: @ggreenwald An entire city taken over for experimentation? Where does Pfizer take his clues from, Dr. Mengele?'",49,None,1971,1893
2021-10-10 23:59:50,"b'RT @LeonardRoxon: 4 &amp; 5 year olds, ""ACCIDENTALLY"" given Pfizer VACCINE &amp; they BOTH HAVE DEVELOPED HEART ISSUES NOW! \xf0\x9f\x92\x89\xf0\x9f\x9a\xab\n\nAccidentally??? Hmm\xe2\x80\xa6'",372,None,9,29
2021-10-10 23:59:43,"b'RT @EggerDC: The ""enriching the pockets of Big Pharma"" argument here is particularly bizarre. For a dose of vaccine, the government pays Pf\xe2\x80\xa6'",179,None,561,449
2021-10-10 23:59:43,b'RT @nytimes: Pfizer will fully vaccinate everyone in a Brazilian city over the age of 12 to study the safety and efficacy of their vaccine.\xe2\x80\xa6',876,None,49,220
2021-10-10 23:59:37,b'@TruAmericanGal1 #LawsOfWar\n\xf0\x9f\x87\xba\xf0\x9f\x87\xb8 COVID-19 VAXX: A BIOWEAPON = GENOCIDE\n@Surgeon_General @WhiteHouse @CDCgov @NIH\xe2\x80\xa6 https://t.co/UQArFlua8I',0,LawsOfWar,85,538
2021-10-10 23:59:35,"b'RT @ggreenwald: Pfizer to vaccinate entire city in Brazil as part of study.\n\n""Pfizer announced that it would fully vaccinate everyone in th\xe2\x80\xa6'",1199,None,1075,2108
2021-10-10 23:59:34,"b'While many younger Israelis were happy to get their initial doses of the Pfizer vaccine, this time they aren\xe2\x80\x99t so w\xe2\x80\xa6 https://t.co/fiW2Y1J4Vn'",0,None,2420,1343
2021-10-10 23:59:33,b'RT @buddy_dek: Pfizer seeks FDA authorization of Covid-19 vaccine for children ages 5 to 11 - CNN https://t.co/ibF2MwlHGR',2,None,2176,2332
2021-10-10 23:59:30,b'RT @ChicOne12: Pfizer Whistleblower Reveals E-Mails Implying Aborted Baby Cell Use in Vaccine. https://t.co/GE5oHeXKiC',1,None,303,1367
2021-10-10 23:59:19,b'RT @MorganGodfery: maureen pugh has had her first shot of the pfizer vaccine (pfive G vaccine). cyberbullying works',3,None,646,1462
2021-10-10 23:59:17,b'@ggreenwald What happened to lab rats?\n\nPfizer must be shut down NOW!',0,None,116,239
2021-10-10 23:59:12,b'@suzy_1776 Please stand strong!!  These are deadly vaccines!!  We must remember that Pfizer donated millions to Bid\xe2\x80\xa6 https://t.co/JiwKvotDyS',0,None,2280,2123
2021-10-10 23:59:12,"b'RT @ggreenwald: Pfizer to vaccinate entire city in Brazil as part of study.\n\n""Pfizer announced that it would fully vaccinate everyone in th\xe2\x80\xa6'",1199,None,1843,2188
2021-10-10 23:59:08,b'RT @nytimes: Pfizer will fully vaccinate everyone in a Brazilian city over the age of 12 to study the safety and efficacy of their vaccine.\xe2\x80\xa6',876,None,309,223
2021-10-10 23:59:00,"b'RT @gregggonsalves: Let\xe2\x80\x99s be absolutely clear: if we had the global resolve to do it, we could have scaled up vaccine production for the wo\xe2\x80\xa6'",15,None,993,1358
2021-10-10 23:59:00,"b""People! Can't you see this #vaccine is still not proven! Why have to test and study for a year? People, you're the\xe2\x80\xa6 https://t.co/dWIOT8rrRY""",0,vaccine,55,288
2021-10-10 23:58:58,b'@amylouvoodoo @Jessicam6946 It really sucks that moderna is not at the same fda approval phase as pfizer. I think t\xe2\x80\xa6 https://t.co/3GwKzT7vH7',0,None,33483,32947
2021-10-10 23:58:55,b'RT @mRNA_Death_Toll: Pro\xf0\x9f\x92\x89 nurse injured by the Pfizer booster shot https://t.co/DLYhnqGa7i',170,None,46,284
2021-10-10 23:58:55,"b'RT @ujiminphoria: Karina already got vaccinated and op ask her to do ""aja! aja! pfizer!"" bcs it was a trend these days after you got the sh\xe2\x80\xa6'",282,None,420,373
2021-10-10 23:58:53,b'RT @sammajammaz: Got the Pfizer vaccine and now I can\xe2\x80\x99t stop cumming',67,None,3,146
2021-10-10 23:58:52,b'RT @HomeDepot420: @shaun_vids @Revelation2041 Got the Pfizer vaccine a week ago and now my balls are gigantic and I can\xe2\x80\x99t stop cumming. I a\xe2\x80\xa6',111,None,18,25
2021-10-10 23:58:50,b'RT @samdman95: a new study from Israel where they are doing widespread booster doses finds that they reduce the rate of infection by a fact\xe2\x80\xa6',36,None,256,374
2021-10-10 23:58:49,"b'RT @ggreenwald: Pfizer to vaccinate entire city in Brazil as part of study.\n\n""Pfizer announced that it would fully vaccinate everyone in th\xe2\x80\xa6'",1199,None,609,1199
2021-10-10 23:58:48,"b'RT @ggreenwald: Pfizer to vaccinate entire city in Brazil as part of study.\n\n""Pfizer announced that it would fully vaccinate everyone in th\xe2\x80\xa6'",1199,None,64,424
2021-10-10 23:58:44,b'@jason_meister @Neloangelo314 @SpiritAirlines\n\xf0\x9f\x87\xba\xf0\x9f\x87\xb8 COVID-19 VAXX: A BIOWEAPON = GENOCIDE\n@Surgeon_General @WhiteHouse\xe2\x80\xa6 https://t.co/iW0RwQrTX1',0,None,85,538
2021-10-10 23:58:43,"b'RT @DebSpillane: Delighted for long suffering Sydney folks who are getting out and about today, but sorry for mid north coasters who are st\xe2\x80\xa6'",9,None,14228,7307
2021-10-10 23:58:41,"b""RT @HowardSteen4: An FOI request shows that the UK's medical regulator, the MHRA headed by June Raine, did not inspect the manufacturer's s\xe2\x80\xa6""",418,None,98,563
2021-10-10 23:58:41,b'@chrislhayes Who the actual fuck do you think is selling the vaccine? Small pharma? Checked Pfizer and Moderna profits this past year?',0,None,107,496
2021-10-10 23:58:40,"b'@AndySwan Pfizer is not approved. Pfizer-Cominarty is approved, but not available in the US'",0,None,1772,2233
2021-10-10 23:58:26,b'RT @nytimes: Pfizer will fully vaccinate everyone in a Brazilian city over the age of 12 to study the safety and efficacy of their vaccine.\xe2\x80\xa6',876,None,1452,170
2021-10-10 23:58:23,b'@DebSpillane Using \xe2\x80\x98there\xe2\x80\x99s no Pfizer\xe2\x80\x99 as an excuse is lame. There is plenty of AZ &amp; Moderna. GET VAXXED.',0,None,672,2217
2021-10-10 23:58:22,b'@slikrik2003 @DavidLWindt Yep. That might be as far as they are able to go.\n\nThey certainly have a case for neglige\xe2\x80\xa6 https://t.co/kfIW7aJ2Ui',0,None,183,697
2021-10-10 23:58:22,"b'RT @EricSpracklen: BREAKING: @Pfizer Scientists: \xe2\x80\x98Your [COVID] Antibodies are Probably Better than the [Pfizer] Vaccination\xe2\x80\x99\n\n""We\xe2\x80\x99re Like B\xe2\x80\xa6'",0,None,81,298
2021-10-10 23:58:22,b'@loganleetravels @matthewrastocic @VicGovDH \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82. Another muppet still hanging onto the dream that Victoria\xe2\x80\x99s fail\xe2\x80\xa6 https://t.co/SKhKNU4RHo',0,None,5,33
2021-10-10 23:58:21,"b""The side effect seen 'more frequently' after Pfizer booster shot than previous doses - FDA https://t.co/nJ3JFEhpiL""",0,None,6,0
2021-10-10 23:58:18,"b'RT @JackPosobiec: Folks! \n\nThank you for another week at #1 on the podcast charts - God bless you\n\nHelp us out and leave a review, it reall\xe2\x80\xa6'",348,None,313,1068
2021-10-10 23:58:18,"b""@MAGA__Patriot @knowlton_jon It's probably more about $$$ than anything else: Iceland, along with Norway, is recomm\xe2\x80\xa6 https://t.co/ExM9FV5sQ9""",0,None,2727,2175
2021-10-10 23:58:14,"b'RT @ujiminphoria: Karina already got vaccinated and op ask her to do ""aja! aja! pfizer!"" bcs it was a trend these days after you got the sh\xe2\x80\xa6'",282,None,223,408
2021-10-10 23:58:09,"b'RT @RWMaloneMD: This is from May, is a bit dated, but should be kept in mind.\n\nhttps://t.co/axfHsFkEMw'",1475,None,4860,4954
2021-10-10 23:58:09,"b'RT @ggreenwald: Pfizer to vaccinate entire city in Brazil as part of study.\n\n""Pfizer announced that it would fully vaccinate everyone in th\xe2\x80\xa6'",1199,None,147,212
2021-10-10 23:58:09,"b""RT @RichSementa: Project Veritas Questions Pfizer's Chief Scientific Officer Over Leaked Emails\nhttps://t.co/8vABq1rzln""",6,None,902,697
2021-10-10 23:58:05,"b'RT @seaside101: At a Walgreens in Evansville, Indiana, two children, ages 4 and 5, were accidentally given a Pfizer jab instead of the flu\xe2\x80\xa6'",38,None,45,158
2021-10-10 23:58:02,"b""RT @markghost45: It's been 4 hours since I officially recorded the 3rd dose of the Pfizer Covid Vaccine and I'm happy to report my nutz are\xe2\x80\xa6""",334,None,5303,5668
2021-10-10 23:57:59,"b'@hardhatintellec Appeal to authority. Don\xe2\x80\x99t question the science! Science has never been wrong. Hell, Pfizer just r\xe2\x80\xa6 https://t.co/tfGcVmFnL2'",0,None,2131,605
2021-10-10 23:57:57,"b'RT @stillmind2: @ggreenwald An entire city taken over for experimentation? Where does Pfizer take his clues from, Dr. Mengele?'",49,None,40,325
2021-10-10 23:57:55,b'@PeptoPill @NateStan99 @JackPosobiec @pfizer https://t.co/8jZpxbxa0Q You really need to expand your source of information',0,None,23,26
