created,text,retwc,hashtag,followers,friends
2021-10-10 23:52:09,b'@Harnesstherace @thewrightpage A: They don\xe2\x80\x99t buy the shots so no money saved. B: The direction has been to have 5 p\xe2\x80\xa6 https://t.co/GuusTpGun8',0,None,431,348
2021-10-10 23:52:06,b'@PeptoPill @NateStan99 @JackPosobiec @pfizer Depends on the variants the Delta variant has hospitalised and led to\xe2\x80\xa6 https://t.co/9HUyKZrzya',0,None,23,26
2021-10-10 23:52:04,"b'RT @ke11ybender: Boise, Idaho \xe2\x80\x94 Pro mountain biker, Kyle Warner, has pericarditis after 2nd dose of Pfizer. Although this happened back in\xe2\x80\xa6'",237,None,1023,3855
2021-10-10 23:52:01,b'RT @sammajammaz: Got the Pfizer vaccine and now I can\xe2\x80\x99t stop cumming',66,None,53,204
2021-10-10 23:51:58,b'@SusanCarland This is a powerful message. Protect your family and community. It doesn\xe2\x80\x99t take long. I\xe2\x80\x99ve got arthrit\xe2\x80\xa6 https://t.co/JOjabxBBgK',0,None,20,76
2021-10-10 23:51:55,b'RT @olivebeerthanks: #Pfizer - NOTHING TO SEE HERE! https://t.co/HiFijgTthF',2,Pfizer,798,1283
2021-10-10 23:51:54,"b'RT @ggreenwald: Pfizer to vaccinate entire city in Brazil as part of study.\n\n""Pfizer announced that it would fully vaccinate everyone in th\xe2\x80\xa6'",1172,None,34,147
2021-10-10 23:51:52,b'@TruAmericanGal1 What vax is causing this? Modena or Pfizer?',0,None,163,1416
2021-10-10 23:51:48,"b'2/4 On Aug. 25, 2021, the FDA received a supplement from Pfizer Inc. to their biologics license application for Com\xe2\x80\xa6 https://t.co/A2Sx0egJ8B'",0,None,99,584
2021-10-10 23:51:47,"b""@DrKateTO @WaytowichNeil and if you've had the Pfizer vaccine, you can very well be having two periods a month, and\xe2\x80\xa6 https://t.co/3Jj4knrUFz""",0,None,4,60
2021-10-10 23:51:46,b'@kylenabecker @clif_high #LawsOfWar\n\xf0\x9f\x87\xba\xf0\x9f\x87\xb8 COVID-19 VAXX: A BIOWEAPON = GENOCIDE\n@Surgeon_General @WhiteHouse @CDCgov\xe2\x80\xa6 https://t.co/KmH15O349D',0,LawsOfWar,85,538
2021-10-10 23:51:45,"b'RT @EggerDC: The ""enriching the pockets of Big Pharma"" argument here is particularly bizarre. For a dose of vaccine, the government pays Pf\xe2\x80\xa6'",161,None,644,1513
2021-10-10 23:51:44,"b""RT @HowardSteen4: An FOI request shows that the UK's medical regulator, the MHRA headed by June Raine, did not inspect the manufacturer's s\xe2\x80\xa6""",412,None,56,415
2021-10-10 23:51:44,b'RT @T2Rantor: Don\xe2\x80\x99t take the #ClotShot. Pfizer\xe2\x80\x99s Pfetus Pvaccine https://t.co/qrDie0a0eF',1,ClotShot,2324,1678
2021-10-10 23:51:43,b'RT @chicago_canada: @CMOH_Alberta 24 year old son got myocarditis from Pfizer That of that poison should be given to anyone under the age o\xe2\x80\xa6',10,None,10,82
2021-10-10 23:51:42,"b'RT @EricTopol: From England, where boosters are being given for age 50+ who are 6 months or more out from vaccination (Pfizer, Moderna, AZ)'",38,None,652,767
2021-10-10 23:51:40,"b""RT @BiffCat: @chicago_canada @CMOH_Alberta My 18 year old son did too, been in chronic pain for 2 weeks, can't even go to school, can't wal\xe2\x80\xa6""",6,None,10,82
2021-10-10 23:51:38,b'@tradermusings @jacobcabe How can you prove death rates would have been higher without the vaccine??\n\nDid the pfize\xe2\x80\xa6 https://t.co/QSUhMhJcO6',0,None,834,3498
2021-10-10 23:51:33,b'RT @TheRightMelissa: Ha! @pfizer blocked me? Lol I have never interacted with them. \nWhat a badge of honor to be blocked by what has turned\xe2\x80\xa6',677,None,380,1357
2021-10-10 23:51:31,b'RT @nytimes: Pfizer will fully vaccinate everyone in a Brazilian city over the age of 12 to study the safety and efficacy of their vaccine.\xe2\x80\xa6',865,None,2450,3195
2021-10-10 23:51:26,"b'RT @sarahlazare: At the same time Pfizer is doing this, it\xe2\x80\x99s also part of an effort to sink a compulsory licensing bill that would expand B\xe2\x80\xa6'",31,None,1160,4260
2021-10-10 23:51:20,"b'@gremren_ As someone who had Pfizer and no hit back from it - may you share my experience. Seconding the ""Do stay h\xe2\x80\xa6 https://t.co/HPJjh33782'",0,None,568,391
2021-10-10 23:51:18,"b'RT @JackPosobiec: PFIZER LEAKS: Whistleblower Goes On Record, Reveals Emails from Chief Scientific Officer &amp; Senior Director of Worldwide R\xe2\x80\xa6'",11727,None,71,169
2021-10-10 23:51:16,b'@CaffeinesC @njdotcom @pfizer I take a shot a year for the flu and covid is 5 times deadlier..... Well that was the\xe2\x80\xa6 https://t.co/e9ijmGlVB8',0,None,0,97
2021-10-10 23:51:16,"b'RT @HPVSideEffects: ""Former Bachelor star Monique Morley is hospitalised with extremely rare heart complication \'as a side effect of her fi\xe2\x80\xa6'",40,None,64,33
2021-10-10 23:51:14,"b'RT @JackPosobiec: PFIZER LEAKS: Whistleblower Goes On Record, Reveals Emails from Chief Scientific Officer &amp; Senior Director of Worldwide R\xe2\x80\xa6'",11727,None,80,311
2021-10-10 23:51:11,"b""RT @HowardSteen4: An FOI request shows that the UK's medical regulator, the MHRA headed by June Raine, did not inspect the manufacturer's s\xe2\x80\xa6""",412,None,2484,678
2021-10-10 23:51:07,"b'RT @ke11ybender: Boise, Idaho \xe2\x80\x94 Pro mountain biker, Kyle Warner, has pericarditis after 2nd dose of Pfizer. Although this happened back in\xe2\x80\xa6'",237,None,1516,2206
2021-10-10 23:51:07,"b'@ezralevant For some reason, I don\xe2\x80\x99t trust that all of the results of the Pfizer study will be made public.'",0,None,241,1403
2021-10-10 23:51:04,"b'RT @JeanmarcBenoit: VAERS. 15 male, died playing soccer. 4 days post Pfizer vaccine. Prior diagnosis of hypertrophic cardiomyopathy https:/\xe2\x80\xa6'",1446,None,105,208
2021-10-10 23:51:01,"b'RT @ggreenwald: Pfizer to vaccinate entire city in Brazil as part of study.\n\n""Pfizer announced that it would fully vaccinate everyone in th\xe2\x80\xa6'",1172,None,156,510
2021-10-10 23:50:53,b'RT @DataDrivenMD: Why the delay? Boosters. The FDA is prioritizing Moderna and J&amp;J boosters even though J&amp;J submitted its data re: boosters\xe2\x80\xa6',11,None,102,712
2021-10-10 23:50:48,b'RT @PROTEST__NEWS: California USA Flag of United States - Protests at the CNN Building \n\n No Vaccine Mandates - We Will Not Comply\n#CNN #No\xe2\x80\xa6',62,CNN,3082,3887
2021-10-10 23:50:47,"b'RT @LifeNewsHQ: If Pfizer wanted to hide the fact that its vaccine was tested with ""fetal cells"" what else is it hiding?'",691,None,3409,4560
2021-10-10 23:50:30,"b""RT @ke11ybender: German actress Felicia Binger, age 28, has a skin disease after Pfizer jab. In 5 months, she's seen over 15 doctors and sa\xe2\x80\xa6""",51,None,1138,1002
2021-10-10 23:50:24,"b'RT @ggreenwald: Pfizer to vaccinate entire city in Brazil as part of study.\n\n""Pfizer announced that it would fully vaccinate everyone in th\xe2\x80\xa6'",1172,None,35371,30193
2021-10-10 23:50:23,"b'@DebSpillane A very limited amount of Pfizer was diverted to sydney, don\xe2\x80\x99t think that\xe2\x80\x99s the issue here.'",0,None,1278,360
2021-10-10 23:50:22,b'ICYMI: Biden BUSTED As Pfizer ADMITS There\xe2\x80\x99s No Vaccine Approved By FDA In The U.S. In Recorded Call\xe2\x80\xa6 https://t.co/KBnTx8jn23',0,None,1337,1390
2021-10-10 23:50:19,"b""RT @MoooPapa: Pfizer CEO explains why he's not getting the vaccine. https://t.co/PapK8OU2pG""",84,None,1358,2571
2021-10-10 23:50:18,"b'RT @LeonardRoxon: 4 &amp; 5 year olds, ""ACCIDENTALLY"" given Pfizer VACCINE &amp; they BOTH HAVE DEVELOPED HEART ISSUES NOW! \xf0\x9f\x92\x89\xf0\x9f\x9a\xab\n\nAccidentally??? Hmm\xe2\x80\xa6'",371,None,23,176
2021-10-10 23:50:13,b'RT @nytimes: Pfizer will fully vaccinate everyone in a Brazilian city over the age of 12 to study the safety and efficacy of their vaccine.\xe2\x80\xa6',865,None,21,181
2021-10-10 23:50:10,"b'RT @EricTopol: From England, where boosters are being given for age 50+ who are 6 months or more out from vaccination (Pfizer, Moderna, AZ)'",38,None,586,834
2021-10-10 23:50:09,"b'RT @ggreenwald: Pfizer to vaccinate entire city in Brazil as part of study.\n\n""Pfizer announced that it would fully vaccinate everyone in th\xe2\x80\xa6'",1172,None,4,112
2021-10-10 23:50:01,b'RT @shanermurph: BREAKING:\nPfizer executives spotted after this announcement! https://t.co/4Q3Fm50t4T',1,None,2256,2372
2021-10-10 23:50:00,"b'RT @GaryStratton18: @JackPosobiec @pfizer My blood pressure, which had been in control with common meds for many years, suddenly went out o\xe2\x80\xa6'",6,None,721,3107
2021-10-10 23:50:00,b'@LTorchman @anymanfitness So Pfizer\xe2\x80\x99s on trial data is misinformation? That\xe2\x80\x99s pretty weird.',0,None,2,132
2021-10-10 23:49:58,b'@Bubbalover71 @Jasper2006 @Jnm2Julia @BuzzPatterson How can you force people to take something that isn\xe2\x80\x99t even offi\xe2\x80\xa6 https://t.co/R8rfWeujFP',0,None,30,135
2021-10-10 23:49:55,"b'RT @ggreenwald: Pfizer to vaccinate entire city in Brazil as part of study.\n\n""Pfizer announced that it would fully vaccinate everyone in th\xe2\x80\xa6'",1172,None,139,693
