created,text,retwc,hashtag,followers,friends
2021-10-09 03:57:00,b'RT @josenava84: You may be a skeptic all you want but this is irrefutable proof beyond a shadow of a doubt that the vaxx is AI Transcendenc\xe2\x80\xa6',3,None,85,109
2021-10-09 03:56:59,"b""RT @Bret_Sears: My son can't play hockey this year due to vaxx passports so he's teaching himself how to play piano. I'm proud of him for t\xe2\x80\xa6""",168,None,56,193
2021-10-09 03:56:53,"b'@belindasmilne @Reuters Read the article.  This is not anti vaxx propoganda and it\xe2\x80\x99s not misleading, at least for t\xe2\x80\xa6 https://t.co/sHJspPU5iB'",0,None,2,14
2021-10-09 03:56:42,b'RT @BYounger13: D.o.D. Joint Artificial Intelligence Center monitoring vaxx deaths. \n\nThe vaccine coordinates with electronic devices withi\xe2\x80\xa6',28,None,77,250
2021-10-09 03:56:32,"b""@daisymaebear1 @chhardman This is something I have been saying too.  When the Vaxx'd realize what is actually in th\xe2\x80\xa6 https://t.co/2gyXY9vfgy""",0,None,1035,54
2021-10-09 03:56:11,"b'RT @aginnt: Almost daily in New York City, there is a protest against the firing of public sector workers based on their vaxx status.\n\nUS m\xe2\x80\xa6'",4043,None,337,832
2021-10-09 03:56:08,b'@chiara_ann13 their cell changing with the vaxx lol. They create 2 kind of humans look like \xf0\x9f\xa4\xa1',0,None,251,355
2021-10-09 03:56:00,b'@SkyNewsAust #LawsOfWar\n\xf0\x9f\x87\xa6\xf0\x9f\x87\xba COVID-19 VAXX: A BIOWEAPON = GENOCIDE\n@ScottMorrisonMP @DanielAndrewsMP @MarkMcGowanMP\xe2\x80\xa6 https://t.co/60L7yTFM12',0,LawsOfWar,84,526
2021-10-09 03:55:43,"b'@keithwadeallen @Prof_RBW @brad_polumbo Ok, 100 - 1.6 = 98.4% recovery rate, right? without the approved Covid drug\xe2\x80\xa6 https://t.co/qxuuMzEaHt'",0,None,238,904
2021-10-09 03:55:42,"b'RT @FilmThePoliceLA: Hollywood Blvd, Saturday, 11:22 AM:\n\nANTI-VAXX PROTESTER: Do you see all of these homeless people around. Are they dea\xe2\x80\xa6'",50817,None,436,4135
2021-10-09 03:55:13,"b""The fully vaxx'd 12-39 age groups are the important ones. Unless we have 12-39 year olds at 70%-80% targets. Reopen\xe2\x80\xa6 https://t.co/PfCrS0O24p""",0,None,135,127
2021-10-09 03:54:59,"b'RT @FilmThePoliceLA: Hollywood Blvd, Saturday, 11:22 AM:\n\nANTI-VAXX PROTESTER: Do you see all of these homeless people around. Are they dea\xe2\x80\xa6'",50817,None,13,179
2021-10-09 03:54:58,b'@pcorrada @SpaceCadet9661 @rinmor Hilarious!  There are only 7 billion people on the planet.  I\xe2\x80\x99m calling brain fog\xe2\x80\xa6 https://t.co/1OmBJVXvhl',0,None,216,735
2021-10-09 03:54:54,"b""RT @Bret_Sears: My son can't play hockey this year due to vaxx passports so he's teaching himself how to play piano. I'm proud of him for t\xe2\x80\xa6""",168,None,50,373
2021-10-09 03:54:53,"b'RT @curiocat13: This Govt is a sewer. Climate change deniers, Herd Immunity shills &amp; other venal anti vaxx shits + Esther McVey. Why are an\xe2\x80\xa6'",1,None,3217,2348
2021-10-09 03:54:50,b'RT @photobyluke: @ScottyAmerica1 @BookerSparticus \n@Motivation724 @ArmedWithGrace \n\xe2\x80\x9cWe are seeing this but....\nnobody is saying anything \xe2\x80\x9c\xf0\x9f\x98\xa1\xe2\x80\xa6',155,None,1149,432
