created,text,retwc,hashtag,followers,friends
2021-10-18 22:12:52,"b'Vanguard and BlackRock are the top two owners of TW, Comcast, Disney &amp; News Corp, 4 of the 6 media giants who contr\xe2\x80\xa6 https://t.co/rgUMhaQ7Ui'",0,None,432,658
2021-10-18 22:12:51,b'RT @ChrisOD65316390: !!!!!! Thats BIG...              https://t.co/K5fX3mB2QN',6,None,10624,11138
2021-10-18 22:12:49,"b'@byeehaveefunn @JanSchmidtaz @SailOtisJ24 @alwebbj All animals died during which testing, George?\n\nFDA fully author\xe2\x80\xa6 https://t.co/SCSzDiv6tZ'",0,None,652,753
2021-10-18 22:12:49,"b'RT @TheM0dalice: BlackRock, who is buying up homes and foreclosures at record speed in the United States has an ownership of 262,067,651 sh\xe2\x80\xa6'",1950,None,2012,845
2021-10-18 22:12:48,b'@brad11957408 @Anderso73362690 @Saskbornretiree @rick_pittman You could not be more wrong. Do your research. Comirn\xe2\x80\xa6 https://t.co/ovKLByZZjT',0,None,301,294
2021-10-18 22:12:48,b'RT @reignitedemaust: WA Police Officer shares horrific story about Pfizer reaction and people trying to silence her | https://t.co/AFpt94DP\xe2\x80\xa6',396,None,173,77
2021-10-18 22:12:48,"b'Easy, @AnnastaciaMP Her father works for Pfizer and so does the husband of Dr. Jeanette Young, the CHO, who both ,\xe2\x80\xa6 https://t.co/dC1uqdJZ7p'",0,None,182,412
2021-10-18 22:12:44,"b'RT @qbanjackson: @catturd2 Am I alone in just realizing that the FDA approved ""vaccine"" from Pfizer is NOT being administered in the US? Th\xe2\x80\xa6'",14,None,838,667
2021-10-18 22:12:43,b'RT @science_md: \xe2\x9a\xa0\xef\xb8\x8f#Pfizer vaccine\xe2\x80\xbc\xef\xb8\x8fUnbelievable!\nAnimal material is used in the manufacturing of their genetic vaccine. A contamination by\xe2\x80\xa6',4,Pfizer,83,816
2021-10-18 22:12:43,b'@Caoimhe_O_Neil @centristjim1 @ZubyMusic @Rob_Kimbell There are complex cases where the cause is difficult to be ce\xe2\x80\xa6 https://t.co/egUdL8171i',0,None,12,38
2021-10-18 22:12:41,"b'RT @veryvirology: It seems we may not be facing a broad prion epidemic derived from the spike protein. It may actually be ""just"" contaminat\xe2\x80\xa6'",144,None,46,403
2021-10-18 22:12:38,"b'RT @TheM0dalice: BlackRock, who is buying up homes and foreclosures at record speed in the United States has an ownership of 262,067,651 sh\xe2\x80\xa6'",1950,None,315,442
2021-10-18 22:12:38,"b'RT @dbRaevn: \xf0\x9f\x92\x89There are 604,859 partially vaccinated Victorians whose 1st dose was 3+ weeks ago. \n\nThose who had Pfizer are eligible for th\xe2\x80\xa6'",40,None,426,966
2021-10-18 22:12:37,"b'RT @ukiswitheu: ..Most EU countries still have mask mandates indoors\n\n..Most EU countries have used Pfizer, UK has used AZ, AZ not as effec\xe2\x80\xa6'",16,None,126,511
